Brand,Model,Engine_Size_L,Horsepower,Fuel_Type,Transmission,Mileage_kmpl,Showroom_Price_INR
Skoda,Superb,1.4,154.0,Petrol,Manual,22.2,1792392.0
Toyota,Glanza,2.1,158.0,Petrol,Automatic,26.2,2273770.0
Tata,Nexon,1.3,143.0,Diesel,Automatic,14.7,2042067.0
Volkswagen,Taigun,2.1,91.0,CNG,Manual,,1727354.0
Hyundai,i20,2.1,,Petrol,Automatic,18.9,2536169.0
Volkswagen,Taigun,1.6,108.0,Diesel,Automatic,21.6,1777976.0
MG,Hector,2.1,130.0,Electric,Automatic,16.7,2473227.0
Honda,City,1.4,217.0,Petrol,Manual,16.5,1994751.0
Toyota,Innova,1.7,102.0,CNG,Manual,15.0,1514103.0
Tata,Punch,1.1,178.0,Electric,Automatic,12.7,2563675.0
Kia,Carens,1.7,177.0,Petrol,Automatic,14.4,2072901.0
Mahindra,Scorpio,1.2,158.0,CNG,Automatic,17.0,1927800.0
Skoda,Kushaq,1.9,174.0,Electric,Manual,25.5,2609757.0
MG,Hector,1.3,107.0,Diesel,Manual,15.4,1489470.0
Maruti,Swift,2.3,93.0,Diesel,Manual,24.5,1771206.0
Hyundai,Venue,,101.0,Petrol,Automatic,15.1,1528586.0
Honda,,2.1,108.0,Electric,Manual,23.7,2478310.0
Kia,Sonet,1.8,132.0,Electric,Manual,17.1,2203067.0
Volkswagen,Polo,1.1,204.0,Petrol,Automatic,13.8,1924994.0
MG,Hector,1.2,166.0,Diesel,Automatic,27.0,2226074.0
Tata,Nexon,1.3,208.0,Diesel,Manual,19.1,2018795.0
Skoda,Kushaq,1.1,82.0,CNG,Manual,22.4,1431734.0
Maruti,Swift,2.1,202.0,Electric,Automatic,14.9,2809120.0
Toyota,Hyryder,2.0,180.0,Diesel,Manual,20.4,2283048.0
Maruti,Baleno,1.3,198.0,CNG,,27.5,2252525.0
MG,Astor,2.5,98.0,Petrol,Manual,15.1,1597271.0
Volkswagen,Taigun,1.9,121.0,Petrol,Automatic,25.2,1864499.0
Hyundai,Venue,1.2,83.0,CNG,Automatic,17.7,1584129.0
Toyota,Hyryder,1.1,119.0,Electric,Automatic,12.6,2322669.0
Skoda,Kushaq,2.4,94.0,CNG,Manual,,1890871.0
Volkswagen,Taigun,2.0,90.0,CNG,Automatic,24.5,1951378.0
Mahindra,XUV300,1.1,216.0,Diesel,Automatic,16.7,2277954.0
,Scorpio,1.4,85.0,CNG,Automatic,26.7,1590028.0
Mahindra,XUV300,2.2,168.0,CNG,Manual,15.7,2149071.0
Hyundai,Creta,1.1,197.0,CNG,Manual,25.6,1974014.0
Maruti,Baleno,2.2,142.0,Electric,Manual,24.4,
Volkswagen,Virtus,2.1,123.0,Petrol,Automatic,13.4,1922034.0
MG,Comet,1.4,180.0,Electric,Automatic,14.6,2606048.0
Volkswagen,Virtus,2.3,196.0,Electric,Manual,26.6,2969175.0
Honda,Elevate,1.3,79.0,Petrol,Manual,18.8,1224017.0
MG,Hector,1.3,177.0,Petrol,Automatic,14.2,2090138.0
MG,Comet,2.4,82.0,CNG,Automatic,16.2,1971933.0
Honda,Amaze,2.2,205.0,CNG,Automatic,22.0,2509911.0
Skoda,Kushaq,2.0,101.0,Electric,Manual,23.8,2371704.0
Honda,Elevate,1.5,149.0,CNG,Manual,13.1,1935309.0
Maruti,Baleno,1.3,214.0,Petrol,Manual,16.7,
,City,1.7,197.0,CNG,Manual,17.0,2233993.0
MG,Hector,2.3,212.0,CNG,Manual,16.2,2277053.0
Skoda,Superb,1.3,203.0,Diesel,Automatic,26.5,2177567.0
Maruti,Brezza,1.4,129.0,Diesel,Manual,19.0,1680988.0
Toyota,Glanza,1.1,94.0,CNG,Manual,14.9,1323428.0
Volkswagen,Taigun,1.2,137.0,Diesel,Automatic,17.0,1841841.0
Mahindra,XUV700,2.2,189.0,CNG,Automatic,21.2,2336609.0
Skoda,Slavia,2.5,112.0,Diesel,Automatic,27.0,2249794.0
Toyota,Innova,1.6,137.0,Electric,Manual,23.6,2509463.0
Maruti,Baleno,1.4,77.0,CNG,Automatic,26.9,1790917.0
Mahindra,XUV300,2.2,220.0,Electric,Automatic,20.1,2989649.0
Kia,Sonet,2.3,176.0,Electric,Manual,27.1,2641294.0
Hyundai,Creta,,215.0,Electric,Automatic,20.3,2975819.0
MG,Astor,2.3,159.0,Petrol,Manual,22.8,2062151.0
Kia,Seltos,1.7,119.0,Electric,Manual,18.4,2378498.0
Hyundai,Venue,2.3,80.0,Petrol,Automatic,18.2,1726122.0
MG,Hector,1.0,148.0,Diesel,Manual,21.0,1764955.0
Hyundai,i20,2.3,134.0,,Manual,17.9,1758695.0
MG,Astor,1.1,128.0,CNG,Manual,21.1,1608655.0
Skoda,Superb,1.3,150.0,CNG,Manual,12.9,1832966.0
Skoda,Superb,1.1,104.0,Electric,Manual,15.1,
Kia,Sonet,1.6,171.0,Petrol,Automatic,13.6,1894930.0
Hyundai,Creta,2.0,152.0,Electric,Manual,12.9,2550624.0
Kia,Carens,2.4,171.0,Diesel,Manual,22.5,2136011.0
Skoda,Kushaq,2.4,219.0,Diesel,Manual,13.7,2332248.0
Kia,Sonet,1.4,173.0,Petrol,Manual,22.8,1949735.0
Skoda,Slavia,1.7,78.0,CNG,Automatic,23.6,1609952.0
Kia,Seltos,2.0,111.0,CNG,Automatic,25.4,1952805.0
Honda,City,1.1,165.0,CNG,Automatic,22.3,1909398.0
,Polo,1.6,143.0,Diesel,Automatic,15.9,1907502.0
Skoda,Superb,1.1,163.0,Electric,Automatic,19.9,2366500.0
Mahindra,XUV700,2.0,150.0,Petrol,Manual,15.1,1743267.0
Honda,Elevate,2.4,95.0,Diesel,Automatic,14.9,
MG,Hector,2.2,85.0,Electric,Automatic,24.2,2350864.0
Maruti,Swift,1.7,215.0,,Manual,22.4,2320263.0
Tata,,1.6,102.0,CNG,Automatic,18.3,1655428.0
Toyota,Glanza,1.2,173.0,Petrol,Manual,20.5,1835706.0
Mahindra,XUV300,2.1,203.0,Diesel,Manual,22.1,2279855.0
Hyundai,i20,1.5,131.0,CNG,Automatic,17.6,1761273.0
Mahindra,XUV700,2.2,125.0,CNG,Automatic,12.6,2106375.0
MG,Hector,1.1,156.0,Electric,Automatic,26.7,2554451.0
Tata,Altroz,,159.0,Electric,Manual,17.7,2596827.0
Hyundai,Creta,2.3,162.0,Petrol,Manual,14.3,1951323.0
Mahindra,Scorpio,2.4,159.0,CNG,Automatic,23.1,2259591.0
Toyota,Hyryder,1.5,132.0,CNG,Manual,17.9,1763514.0
Skoda,Slavia,1.6,,CNG,Automatic,24.5,1728521.0
Mahindra,XUV700,2.4,133.0,Petrol,Automatic,17.7,2157700.0
Volkswagen,Taigun,2.0,110.0,Diesel,Automatic,19.7,1939278.0
Toyota,Hyryder,2.2,171.0,Diesel,Automatic,12.9,2195726.0
Maruti,Baleno,2.2,138.0,Diesel,Manual,16.1,1858338.0
Honda,City,1.1,178.0,Diesel,Automatic,18.3,2185441.0
MG,Hector,2.2,134.0,CNG,Manual,17.0,1790449.0
Hyundai,Venue,2.3,220.0,Petrol,Automatic,20.6,2635767.0
Skoda,Kushaq,1.4,218.0,CNG,Automatic,17.1,2352618.0
Tata,Altroz,2.2,126.0,Diesel,Automatic,20.8,2221190.0
Tata,Punch,2.3,203.0,CNG,Automatic,14.2,2437474.0
MG,Comet,2.0,162.0,Petrol,Manual,26.0,2135671.0
Toyota,Innova,1.4,84.0,Diesel,Automatic,16.6,1736813.0
MG,Comet,1.4,129.0,,Automatic,14.2,1917275.0
Honda,City,1.0,186.0,Petrol,Automatic,23.6,2056269.0
Toyota,Innova,2.0,215.0,Electric,Manual,24.2,2964498.0
Volkswagen,Taigun,1.4,124.0,CNG,Automatic,24.1,2007938.0
Maruti,Baleno,1.1,156.0,Diesel,Automatic,22.7,2011849.0
Skoda,Slavia,1.3,179.0,Electric,Automatic,,2749007.0
Honda,City,2.0,102.0,Diesel,Manual,18.6,1659955.0
Maruti,Brezza,2.1,210.0,Petrol,Automatic,13.0,2235220.0
Tata,Punch,2.1,184.0,CNG,Automatic,21.4,2353725.0
MG,Astor,2.1,143.0,CNG,Automatic,17.2,1986413.0
Skoda,Slavia,,137.0,Electric,Manual,21.7,2293672.0
MG,Comet,1.2,212.0,Diesel,Manual,24.9,2327673.0
Maruti,Baleno,1.4,120.0,Petrol,Automatic,22.9,1810874.0
Hyundai,i20,1.6,131.0,Petrol,,24.7,1799019.0
Skoda,Superb,2.2,127.0,CNG,Automatic,12.2,2089737.0
Toyota,Hyryder,1.4,93.0,Diesel,Automatic,16.2,1850177.0
MG,Comet,1.0,79.0,Petrol,Manual,27.9,1390103.0
Honda,Elevate,1.3,218.0,Electric,Manual,23.3,2755324.0
Tata,Punch,1.2,182.0,Petrol,Manual,24.0,1813629.0
Tata,Altroz,2.1,194.0,Electric,Automatic,13.1,2750349.0
Skoda,Kushaq,1.7,131.0,Petrol,Manual,16.6,1587361.0
Skoda,Slavia,2.4,219.0,Diesel,Automatic,23.9,2745229.0
,Sonet,1.3,187.0,Diesel,Manual,25.2,2168752.0
Hyundai,Venue,1.2,192.0,Electric,Manual,14.7,2450003.0
Mahindra,Scorpio,1.8,111.0,Diesel,Manual,20.5,1724645.0
Hyundai,Venue,2.5,139.0,Electric,Manual,12.6,2620476.0
Skoda,Superb,2.1,202.0,Diesel,Manual,22.7,2252056.0
Mahindra,Scorpio,1.8,136.0,Diesel,Automatic,13.0,2120443.0
Skoda,Slavia,2.4,129.0,Diesel,Automatic,27.8,2342526.0
Toyota,Innova,1.4,217.0,CNG,Automatic,19.3,2343380.0
MG,Astor,1.6,180.0,Petrol,Manual,22.7,1832133.0
Maruti,Swift,1.5,198.0,Diesel,Manual,24.1,2226467.0
Mahindra,XUV700,1.7,164.0,Electric,Manual,23.9,2560935.0
Volkswagen,Polo,1.6,205.0,Petrol,Automatic,18.3,2296800.0
Mahindra,Scorpio,2.5,196.0,Electric,Manual,12.0,2882374.0
Toyota,Hyryder,1.4,195.0,Diesel,Manual,23.0,2251325.0
Hyundai,Venue,1.3,120.0,Petrol,Automatic,16.1,1595219.0
Tata,Altroz,1.2,167.0,,Manual,17.4,2286714.0
Hyundai,i20,1.3,200.0,Electric,Manual,20.7,2551054.0
Tata,Altroz,2.2,184.0,Petrol,Automatic,23.0,2281252.0
Kia,Seltos,1.7,142.0,Electric,Automatic,27.0,2703758.0
Skoda,Superb,2.0,130.0,Petrol,Automatic,12.8,2028314.0
Toyota,Innova,2.3,160.0,,Manual,18.7,2621837.0
Honda,Amaze,1.4,213.0,CNG,Manual,16.2,2003410.0
Honda,Amaze,2.2,78.0,Petrol,Automatic,13.9,1795638.0
Toyota,Innova,1.1,163.0,Petrol,Manual,19.9,1731341.0
Mahindra,Scorpio,2.5,128.0,Electric,Manual,20.5,2484332.0
Tata,Nexon,1.1,213.0,CNG,Automatic,27.3,2288501.0
Mahindra,XUV300,2.5,131.0,Electric,Automatic,23.5,2846790.0
Tata,Punch,1.9,174.0,Electric,Manual,26.0,2729999.0
Kia,Carens,1.2,110.0,Petrol,Manual,20.6,1557343.0
Kia,Carens,1.8,163.0,Petrol,Manual,16.2,2016057.0
Kia,Carens,2.1,173.0,CNG,Automatic,18.2,2298510.0
Maruti,Swift,2.1,83.0,Petrol,Manual,21.3,
Kia,Seltos,1.6,,Diesel,Automatic,22.5,2394326.0
Kia,Sonet,2.4,170.0,Petrol,Manual,26.6,2012811.0
MG,Astor,2.0,88.0,Petrol,Automatic,22.1,1760653.0
Skoda,Superb,1.9,128.0,Diesel,Manual,24.6,1854372.0
Toyota,Glanza,2.5,120.0,Diesel,,18.8,2145301.0
Toyota,Hyryder,2.2,147.0,Diesel,Manual,15.4,1988569.0
Tata,Altroz,2.1,176.0,Electric,Manual,13.1,
MG,Comet,2.0,148.0,Diesel,Automatic,24.6,2212724.0
Tata,Altroz,1.9,82.0,Petrol,Manual,13.4,1406315.0
Honda,City,1.0,167.0,CNG,Manual,24.8,1741639.0
MG,Hector,1.2,91.0,Electric,Manual,12.9,2004428.0
MG,Comet,2.0,214.0,CNG,Manual,14.9,2185674.0
Maruti,,2.2,81.0,Diesel,Manual,13.3,1662393.0
Mahindra,Scorpio,1.5,181.0,Electric,Manual,17.3,2408915.0
Toyota,Innova,2.1,113.0,Petrol,Automatic,,1883030.0
MG,Hector,1.0,132.0,CNG,Automatic,26.2,1907320.0
Volkswagen,Polo,1.0,128.0,Electric,Automatic,16.8,2273701.0
Toyota,Innova,1.6,155.0,Diesel,Automatic,20.0,1997688.0
Kia,Seltos,1.5,206.0,Diesel,Manual,20.1,2067085.0
Mahindra,XUV700,1.3,84.0,Petrol,Automatic,15.4,1434243.0
Hyundai,Creta,1.7,162.0,Electric,,21.2,2388980.0
MG,Comet,2.4,142.0,Petrol,Manual,22.9,2141590.0
Skoda,,1.1,130.0,CNG,Manual,25.9,
Maruti,Baleno,1.1,81.0,Petrol,Automatic,14.3,1392063.0
Volkswagen,Virtus,1.7,128.0,Electric,Automatic,12.3,2418703.0
Volkswagen,Polo,1.8,,Diesel,,15.2,2211899.0
MG,Hector,1.9,160.0,Electric,Manual,19.5,2589203.0
Hyundai,i20,2.3,209.0,Diesel,Manual,18.4,2431932.0
Tata,Punch,1.3,139.0,Petrol,Manual,24.9,1657589.0
Hyundai,Creta,2.5,145.0,Petrol,Manual,23.7,2028370.0
Maruti,,2.3,215.0,Electric,Manual,26.6,2944149.0
Maruti,Brezza,1.5,215.0,Petrol,Automatic,25.4,2342225.0
Mahindra,XUV700,1.1,208.0,Electric,Automatic,21.0,
Tata,Punch,2.0,135.0,CNG,Automatic,17.8,1935414.0
Volkswagen,Polo,1.0,209.0,Diesel,Automatic,21.0,2163733.0
Tata,Punch,2.0,134.0,CNG,Automatic,19.3,2166214.0
Maruti,Swift,1.4,124.0,Electric,Manual,14.6,2238797.0
Kia,Seltos,2.4,174.0,CNG,Automatic,20.8,2312685.0
Volkswagen,Virtus,1.4,123.0,Diesel,Automatic,23.8,1841222.0
MG,Astor,1.1,93.0,Electric,Automatic,17.5,2204478.0
Maruti,Brezza,1.7,168.0,Electric,Manual,23.7,2482379.0
Volkswagen,Virtus,1.5,,Electric,Automatic,14.8,2537493.0
Mahindra,XUV700,1.6,86.0,Electric,Manual,21.5,2193471.0
Maruti,Swift,2.4,164.0,Diesel,Automatic,,2357677.0
Mahindra,XUV300,1.3,188.0,,Automatic,27.4,2233449.0
Skoda,Superb,1.4,196.0,Diesel,Manual,22.9,2059918.0
,Astor,2.1,125.0,,Manual,12.8,1676430.0
MG,Astor,2.1,118.0,CNG,Manual,12.7,1737916.0
Mahindra,XUV300,1.7,93.0,Diesel,Manual,13.3,1580136.0
Hyundai,i20,2.2,178.0,Electric,Automatic,22.4,2841273.0
Hyundai,i20,1.8,,Electric,,27.2,2505936.0
Volkswagen,Taigun,1.8,197.0,Electric,,18.4,2842906.0
Mahindra,XUV300,2.3,105.0,CNG,Manual,20.0,1750503.0
Kia,Seltos,1.0,163.0,Diesel,Manual,18.8,1794278.0
Volkswagen,Polo,1.9,86.0,CNG,Manual,20.7,1630712.0
,Taigun,1.0,144.0,Electric,Manual,,2337282.0
Skoda,Kushaq,1.3,81.0,Electric,Automatic,12.9,2040620.0
Toyota,Hyryder,1.5,91.0,Petrol,Manual,17.7,1613276.0
Kia,Sonet,1.3,76.0,Petrol,Manual,14.2,1361013.0
Volkswagen,Virtus,2.3,121.0,Petrol,Manual,14.4,1888935.0
Skoda,Slavia,1.7,198.0,CNG,Automatic,22.6,2294073.0
Volkswagen,Polo,1.1,117.0,CNG,Automatic,25.8,1764443.0
Hyundai,Creta,,84.0,Diesel,Manual,26.9,1669788.0
Skoda,,2.3,115.0,Electric,,13.6,2450200.0
Maruti,Baleno,1.1,114.0,Electric,Manual,25.7,2000734.0
Kia,Sonet,1.6,112.0,Electric,Manual,13.1,2206379.0
Volkswagen,Taigun,1.4,144.0,CNG,Automatic,25.0,1997182.0
Toyota,Glanza,2.3,75.0,Electric,Manual,22.3,2284866.0
Kia,Sonet,1.7,215.0,Diesel,Automatic,18.1,2486109.0
Maruti,Swift,1.2,184.0,Petrol,Manual,20.5,1992986.0
,Altroz,,191.0,Petrol,Manual,12.7,1938116.0
Toyota,Innova,2.2,118.0,Electric,Manual,18.3,2439525.0
Mahindra,Scorpio,2.1,130.0,Electric,Automatic,14.8,
Mahindra,XUV300,1.3,116.0,CNG,Automatic,12.1,1657417.0
Hyundai,i20,2.2,169.0,Petrol,Automatic,22.8,2111931.0
Maruti,Brezza,1.8,187.0,Petrol,Automatic,17.3,2169717.0
Volkswagen,Polo,2.1,98.0,Diesel,Automatic,24.3,2043761.0
Hyundai,i20,1.5,214.0,Diesel,,17.8,2235021.0
Volkswagen,Taigun,1.6,92.0,Diesel,Manual,26.0,1609302.0
Kia,Seltos,1.9,111.0,Petrol,Automatic,26.0,1792298.0
MG,Astor,1.8,79.0,Electric,Automatic,21.8,2130264.0
Volkswagen,Virtus,1.9,127.0,Diesel,Automatic,21.6,2060310.0
Mahindra,XUV700,1.2,176.0,Electric,Manual,27.9,2458048.0
Volkswagen,Virtus,1.6,120.0,CNG,Manual,14.7,1593941.0
Honda,Amaze,1.6,110.0,Diesel,Automatic,26.5,2036011.0
Hyundai,i20,2.2,201.0,Diesel,Manual,24.2,2405988.0
Toyota,Hyryder,2.0,207.0,Petrol,Manual,,2121508.0
Honda,Elevate,1.4,109.0,Electric,Automatic,22.7,2349355.0
Honda,,1.1,164.0,CNG,Manual,23.3,1794158.0
Honda,Elevate,1.4,199.0,Electric,Automatic,27.2,2822330.0
Tata,Punch,1.6,191.0,Electric,Manual,23.7,2715198.0
Toyota,Hyryder,1.4,77.0,Diesel,Manual,27.4,1647371.0
Kia,Seltos,1.8,78.0,CNG,Automatic,24.1,1670251.0
Mahindra,XUV300,1.2,149.0,Diesel,Automatic,18.5,2038758.0
Honda,City,1.6,178.0,,Automatic,25.7,2181526.0
Maruti,Swift,1.8,176.0,CNG,Manual,21.0,
Kia,Sonet,1.7,87.0,Diesel,Automatic,19.3,1800002.0
Skoda,Kushaq,1.1,163.0,CNG,Automatic,13.9,1883675.0
Skoda,Slavia,1.9,134.0,Diesel,Automatic,27.4,2195445.0
Mahindra,XUV700,1.5,,CNG,Manual,14.1,1354226.0
Maruti,Baleno,2.1,199.0,,Manual,13.7,2746004.0
Kia,Seltos,1.2,125.0,CNG,Manual,21.4,1726508.0
Kia,Carens,1.1,130.0,Diesel,Manual,13.6,1732344.0
Skoda,Kushaq,1.9,205.0,Petrol,Manual,12.8,1989515.0
Toyota,Glanza,2.4,186.0,Electric,Automatic,25.6,2943599.0
MG,Hector,1.7,180.0,CNG,Automatic,26.5,2108540.0
Volkswagen,Polo,2.2,200.0,Diesel,Automatic,20.1,2410378.0
Skoda,Kushaq,1.7,103.0,Diesel,Automatic,21.3,1969395.0
Toyota,Hyryder,1.3,81.0,Diesel,Manual,,1484889.0
Kia,Seltos,1.0,,Electric,Manual,27.6,2683146.0
Toyota,Hyryder,1.0,179.0,CNG,,20.0,2102620.0
Kia,Sonet,1.4,209.0,,Manual,23.3,2138849.0
MG,Astor,1.0,193.0,Petrol,Automatic,23.5,1974161.0
Mahindra,XUV700,1.9,,Electric,Automatic,27.7,2822383.0
Volkswagen,Polo,1.1,190.0,Petrol,Automatic,24.0,1956825.0
Hyundai,Venue,1.8,127.0,Petrol,,15.0,1845783.0
Mahindra,XUV300,2.3,166.0,Electric,Manual,13.8,2594632.0
Hyundai,i20,2.4,157.0,CNG,Manual,12.3,2065291.0
Kia,Sonet,1.2,200.0,Diesel,Manual,26.1,2052721.0
,Altroz,1.2,205.0,Diesel,Automatic,25.1,2268342.0
Honda,Elevate,1.3,77.0,CNG,Automatic,21.6,1578718.0
Skoda,Slavia,1.2,217.0,Electric,Manual,13.5,2610377.0
Tata,Nexon,2.1,208.0,Electric,Automatic,21.4,2997416.0
Tata,Altroz,2.3,130.0,Diesel,Automatic,23.4,2073233.0
